,aN,d,e,aC
ALA,0.013054830287206266,0.0783289817232376,0.06527415143603134,0.02610966057441253
CYS,0.0,0.031331592689295036,0.0,0.015665796344647518
ASP,0.013054830287206266,0.0026109660574412533,0.20887728459530025,0.007832898172323759
GLU,0.05221932114882506,0.007832898172323759,0.28720626631853785,0.13577023498694518
PHE,0.02349869451697128,0.02349869451697128,0.0,0.0026109660574412533
GLY,0.0,0.0,0.0,0.0
HIS,0.010443864229765013,0.007832898172323759,0.007832898172323759,0.0026109660574412533
ILE,0.2819843342036554,0.195822454308094,0.07571801566579635,0.3342036553524804
LYS,0.12010443864229765,0.010443864229765013,0.031331592689295036,0.028720626631853787
LEU,0.2584856396866841,0.34203655352480417,0.04177545691906005,0.2950391644908616
MET,0.028720626631853787,0.018276762402088774,0.010443864229765013,0.02610966057441253
ASN,0.013054830287206266,0.015665796344647518,0.09138381201044386,0.020887728459530026
PRO,0.015665796344647518,0.0,0.0,0.0
GLN,0.013054830287206266,0.0026109660574412533,0.03655352480417755,0.044386422976501305
ARG,0.02349869451697128,0.0,0.005221932114882507,0.007832898172323759
SER,0.005221932114882507,0.018276762402088774,0.06788511749347259,0.028720626631853787
THR,0.0,0.03655352480417755,0.044386422976501305,0.007832898172323759
VAL,0.0783289817232376,0.2010443864229765,0.013054830287206266,0.010443864229765013
TRP,0.0,0.0026109660574412533,0.0,0.0
TYR,0.04960835509138381,0.005221932114882507,0.013054830287206266,0.005221932114882507
