,aN,d,e,aC
ALA,0.12121212121212122,0.15151515151515152,0.09090909090909091,0.08333333333333333
CYS,0.030303030303030304,0.022727272727272728,0.022727272727272728,0.0
ASP,0.0,0.0,0.007575757575757576,0.0
GLU,0.0,0.022727272727272728,0.030303030303030304,0.0
PHE,0.06818181818181818,0.07575757575757576,0.0,0.022727272727272728
GLY,0.0,0.0,0.0,0.0
HIS,0.03787878787878788,0.03787878787878788,0.022727272727272728,0.007575757575757576
ILE,0.08333333333333333,0.030303030303030304,0.015151515151515152,0.21212121212121213
LYS,0.06060606060606061,0.08333333333333333,0.20454545454545456,0.03787878787878788
LEU,0.16666666666666666,0.23484848484848486,0.25757575757575757,0.3181818181818182
MET,0.022727272727272728,0.030303030303030304,0.0,0.030303030303030304
ASN,0.022727272727272728,0.0,0.030303030303030304,0.007575757575757576
PRO,0.0,0.0,0.0,0.007575757575757576
GLN,0.007575757575757576,0.030303030303030304,0.17424242424242425,0.015151515151515152
ARG,0.0,0.0,0.03787878787878788,0.05303030303030303
SER,0.06060606060606061,0.03787878787878788,0.015151515151515152,0.022727272727272728
THR,0.030303030303030304,0.08333333333333333,0.030303030303030304,0.030303030303030304
VAL,0.09848484848484848,0.12121212121212122,0.03787878787878788,0.10606060606060606
TRP,0.007575757575757576,0.007575757575757576,0.0,0.0
TYR,0.18181818181818182,0.030303030303030304,0.022727272727272728,0.045454545454545456
