,aN,d,e,aC
ALA,0.12637362637362637,0.04945054945054945,0.06593406593406594,0.15934065934065933
CYS,0.016483516483516484,0.04945054945054945,0.01098901098901099,0.0
ASP,0.02197802197802198,0.01098901098901099,0.01098901098901099,0.01098901098901099
GLU,0.016483516483516484,0.005494505494505495,0.12087912087912088,0.027472527472527472
PHE,0.005494505494505495,0.02197802197802198,0.005494505494505495,0.0
GLY,0.0,0.0,0.0,0.0
HIS,0.01098901098901099,0.0,0.005494505494505495,0.02197802197802198
ILE,0.26373626373626374,0.04395604395604396,0.01098901098901099,0.16483516483516483
LYS,0.03296703296703297,0.0,0.07142857142857142,0.005494505494505495
LEU,0.14835164835164835,0.19230769230769232,0.08791208791208792,0.22527472527472528
MET,0.03296703296703297,0.005494505494505495,0.0,0.10989010989010989
ASN,0.016483516483516484,0.0,0.016483516483516484,0.0
PRO,0.0,0.0,0.005494505494505495,0.0
GLN,0.038461538461538464,0.06043956043956044,0.01098901098901099,0.01098901098901099
ARG,0.04395604395604396,0.0,0.14285714285714285,0.22527472527472528
SER,0.016483516483516484,0.04945054945054945,0.31868131868131866,0.01098901098901099
THR,0.016483516483516484,0.04945054945054945,0.07692307692307693,0.005494505494505495
VAL,0.16483516483516483,0.4230769230769231,0.027472527472527472,0.01098901098901099
TRP,0.0,0.0,0.01098901098901099,0.0
TYR,0.027472527472527472,0.038461538461538464,0.0,0.01098901098901099
