,aN,d,e,aC
ALA,0.05357142857142857,0.23214285714285715,0.0,0.017857142857142856
CYS,0.0,0.0,0.017857142857142856,0.0
ASP,0.0,0.017857142857142856,0.10714285714285714,0.0
GLU,0.017857142857142856,0.0,0.05357142857142857,0.0
PHE,0.05357142857142857,0.0,0.017857142857142856,0.0
GLY,0.0,0.0,0.0,0.0
HIS,0.017857142857142856,0.0,0.017857142857142856,0.03571428571428571
ILE,0.0,0.19642857142857142,0.017857142857142856,0.10714285714285714
LYS,0.017857142857142856,0.0,0.05357142857142857,0.03571428571428571
LEU,0.125,0.19642857142857142,0.03571428571428571,0.3392857142857143
MET,0.0,0.0,0.017857142857142856,0.03571428571428571
ASN,0.23214285714285715,0.03571428571428571,0.0,0.0
PRO,0.0,0.0,0.0,0.0
GLN,0.10714285714285714,0.017857142857142856,0.05357142857142857,0.03571428571428571
ARG,0.26785714285714285,0.017857142857142856,0.14285714285714285,0.3392857142857143
SER,0.0,0.0,0.39285714285714285,0.0
THR,0.017857142857142856,0.0,0.05357142857142857,0.017857142857142856
VAL,0.017857142857142856,0.2857142857142857,0.017857142857142856,0.017857142857142856
TRP,0.05357142857142857,0.0,0.0,0.0
TYR,0.017857142857142856,0.0,0.0,0.017857142857142856
