,aN,d,e,aC
ALA,0.01991150442477876,0.1261061946902655,0.01991150442477876,0.07743362831858407
CYS,0.0,0.03982300884955752,0.0022123893805309734,0.0022123893805309734
ASP,0.017699115044247787,0.01327433628318584,0.3008849557522124,0.00663716814159292
GLU,0.0420353982300885,0.0022123893805309734,0.13938053097345132,0.1504424778761062
PHE,0.048672566371681415,0.01327433628318584,0.05309734513274336,0.017699115044247787
GLY,0.0,0.0,0.0,0.0
HIS,0.015486725663716814,0.00663716814159292,0.015486725663716814,0.0022123893805309734
ILE,0.1172566371681416,0.22787610619469026,0.084070796460177,0.37831858407079644
LYS,0.017699115044247787,0.0,0.011061946902654867,0.008849557522123894
LEU,0.25663716814159293,0.33185840707964603,0.011061946902654867,0.1902654867256637
MET,0.07079646017699115,0.004424778761061947,0.00663716814159292,0.04424778761061947
ASN,0.01327433628318584,0.00663716814159292,0.1172566371681416,0.004424778761061947
PRO,0.0,0.0,0.0,0.0
GLN,0.02654867256637168,0.00663716814159292,0.05309734513274336,0.05752212389380531
ARG,0.1592920353982301,0.0,0.017699115044247787,0.004424778761061947
SER,0.05309734513274336,0.046460176991150445,0.08185840707964602,0.008849557522123894
THR,0.01327433628318584,0.022123893805309734,0.06415929203539823,0.00663716814159292
VAL,0.06858407079646017,0.13938053097345132,0.015486725663716814,0.01991150442477876
TRP,0.028761061946902654,0.0,0.0,0.015486725663716814
TYR,0.030973451327433628,0.01327433628318584,0.00663716814159292,0.004424778761061947
