,dN,g,a,dC
ALA,0.11764705882352941,0.10661764705882353,0.3125,0.13970588235294118
CYS,0.014705882352941176,0.003676470588235294,0.022058823529411766,0.011029411764705883
ASP,0.007352941176470588,0.03308823529411765,0.007352941176470588,0.014705882352941176
GLU,0.11029411764705882,0.14705882352941177,0.0,0.0661764705882353
PHE,0.014705882352941176,0.011029411764705883,0.01838235294117647,0.01838235294117647
GLY,0.0,0.0,0.0,0.0
HIS,0.22426470588235295,0.003676470588235294,0.0,0.03676470588235294
ILE,0.0625,0.04411764705882353,0.13602941176470587,0.08455882352941177
LYS,0.022058823529411766,0.12867647058823528,0.014705882352941176,0.007352941176470588
LEU,0.08823529411764706,0.09926470588235294,0.22058823529411764,0.3713235294117647
MET,0.011029411764705883,0.029411764705882353,0.05514705882352941,0.029411764705882353
ASN,0.003676470588235294,0.08455882352941177,0.0,0.04044117647058824
PRO,0.0,0.0,0.0,0.0
GLN,0.0625,0.051470588235294115,0.007352941176470588,0.014705882352941176
ARG,0.0661764705882353,0.051470588235294115,0.014705882352941176,0.03308823529411765
SER,0.125,0.08823529411764706,0.04411764705882353,0.03308823529411765
THR,0.03308823529411765,0.05514705882352941,0.07720588235294118,0.0661764705882353
VAL,0.011029411764705883,0.025735294117647058,0.0661764705882353,0.022058823529411766
TRP,0.0,0.0,0.0,0.0
TYR,0.025735294117647058,0.03676470588235294,0.003676470588235294,0.011029411764705883
