,aN,d,e,aC
ALA,0.06221198156682028,0.07834101382488479,0.1728110599078341,0.04377880184331797
CYS,0.004608294930875576,0.009216589861751152,0.004608294930875576,0.0
ASP,0.06221198156682028,0.009216589861751152,0.029953917050691243,0.002304147465437788
GLU,0.018433179723502304,0.009216589861751152,0.10368663594470046,0.14055299539170507
PHE,0.04608294930875576,0.027649769585253458,0.0069124423963133645,0.01152073732718894
GLY,0.0,0.0,0.0,0.0
HIS,0.03225806451612903,0.0069124423963133645,0.018433179723502304,0.002304147465437788
ILE,0.23271889400921658,0.17050691244239632,0.02534562211981567,0.2350230414746544
LYS,0.0069124423963133645,0.0,0.03917050691244239,0.03225806451612903
LEU,0.27880184331797236,0.27419354838709675,0.027649769585253458,0.16359447004608296
MET,0.01152073732718894,0.041474654377880185,0.029953917050691243,0.06912442396313365
ASN,0.02534562211981567,0.013824884792626729,0.15207373271889402,0.03456221198156682
PRO,0.0,0.0,0.002304147465437788,0.0
GLN,0.07142857142857142,0.01152073732718894,0.18202764976958524,0.055299539170506916
ARG,0.02534562211981567,0.04838709677419355,0.02534562211981567,0.09216589861751152
SER,0.03456221198156682,0.08525345622119816,0.09907834101382489,0.04838709677419355
THR,0.020737327188940093,0.06912442396313365,0.06451612903225806,0.02304147465437788
VAL,0.018433179723502304,0.07142857142857142,0.01152073732718894,0.027649769585253458
TRP,0.002304147465437788,0.004608294930875576,0.0,0.0069124423963133645
TYR,0.04608294930875576,0.06912442396313365,0.004608294930875576,0.01152073732718894
