,dN,g,a,dC
ALA,0.08847736625514403,0.12139917695473251,0.0720164609053498,0.07818930041152264
CYS,0.018518518518518517,0.018518518518518517,0.0205761316872428,0.006172839506172839
ASP,0.030864197530864196,0.053497942386831275,0.006172839506172839,0.01440329218106996
GLU,0.024691358024691357,0.06790123456790123,0.051440329218107,0.03909465020576132
PHE,0.02263374485596708,0.018518518518518517,0.006172839506172839,0.03909465020576132
GLY,0.0,0.0,0.0,0.0
HIS,0.006172839506172839,0.00823045267489712,0.018518518518518517,0.02263374485596708
ILE,0.01440329218106996,0.053497942386831275,0.09465020576131687,0.08024691358024691
LYS,0.037037037037037035,0.10082304526748971,0.02880658436213992,0.012345679012345678
LEU,0.35802469135802467,0.14609053497942387,0.33539094650205764,0.23251028806584362
MET,0.0205761316872428,0.0102880658436214,0.09053497942386832,0.0205761316872428
ASN,0.051440329218107,0.047325102880658436,0.05555555555555555,0.043209876543209874
PRO,0.00411522633744856,0.00205761316872428,0.0,0.0
GLN,0.0720164609053498,0.0411522633744856,0.053497942386831275,0.09053497942386832
ARG,0.00823045267489712,0.07818930041152264,0.024691358024691357,0.01440329218106996
SER,0.03292181069958848,0.02263374485596708,0.043209876543209874,0.030864197530864196
THR,0.02880658436213992,0.11522633744855967,0.01646090534979424,0.16666666666666666
VAL,0.06584362139917696,0.059670781893004114,0.06378600823045268,0.0411522633744856
TRP,0.06378600823045268,0.00411522633744856,0.0,0.00411522633744856
TYR,0.051440329218107,0.030864197530864196,0.018518518518518517,0.06378600823045268
