,dN,g,a,dC
ALA,0.12371134020618557,0.13402061855670103,0.10309278350515463,0.041237113402061855
CYS,0.041237113402061855,0.0,0.0,0.041237113402061855
ASP,0.041237113402061855,0.041237113402061855,0.0,0.09278350515463918
GLU,0.020618556701030927,0.09278350515463918,0.020618556701030927,0.0
PHE,0.07216494845360824,0.010309278350515464,0.0,0.010309278350515464
GLY,0.0,0.0,0.0,0.0
HIS,0.0,0.14432989690721648,0.0,0.041237113402061855
ILE,0.05154639175257732,0.020618556701030927,0.20618556701030927,0.020618556701030927
LYS,0.030927835051546393,0.08247422680412371,0.010309278350515464,0.16494845360824742
LEU,0.13402061855670103,0.09278350515463918,0.26804123711340205,0.13402061855670103
MET,0.0,0.0,0.07216494845360824,0.0
ASN,0.0,0.10309278350515463,0.010309278350515464,0.05154639175257732
PRO,0.0,0.0,0.0,0.0
GLN,0.07216494845360824,0.07216494845360824,0.061855670103092786,0.08247422680412371
ARG,0.061855670103092786,0.020618556701030927,0.010309278350515464,0.12371134020618557
SER,0.061855670103092786,0.1134020618556701,0.07216494845360824,0.13402061855670103
THR,0.10309278350515463,0.07216494845360824,0.010309278350515464,0.030927835051546393
VAL,0.1134020618556701,0.0,0.1134020618556701,0.0
TRP,0.010309278350515464,0.0,0.0,0.0
TYR,0.061855670103092786,0.0,0.041237113402061855,0.030927835051546393
