,aN,d,e,aC
ALA,0.03680981595092025,0.049079754601226995,0.012269938650306749,0.12883435582822086
CYS,0.012269938650306749,0.006134969325153374,0.0,0.0
ASP,0.006134969325153374,0.0,0.024539877300613498,0.0
GLU,0.024539877300613498,0.08588957055214724,0.049079754601226995,0.04294478527607362
PHE,0.04294478527607362,0.006134969325153374,0.03680981595092025,0.0
GLY,0.0,0.0,0.0,0.0
HIS,0.018404907975460124,0.006134969325153374,0.012269938650306749,0.0
ILE,0.006134969325153374,0.08588957055214724,0.012269938650306749,0.34355828220858897
LYS,0.03067484662576687,0.018404907975460124,0.06134969325153374,0.012269938650306749
LEU,0.34355828220858897,0.147239263803681,0.12883435582822086,0.1165644171779141
MET,0.1411042944785276,0.012269938650306749,0.012269938650306749,0.006134969325153374
ASN,0.024539877300613498,0.07975460122699386,0.12269938650306748,0.0736196319018405
PRO,0.0,0.0,0.0,0.0
GLN,0.09202453987730061,0.1656441717791411,0.04294478527607362,0.09202453987730061
ARG,0.03680981595092025,0.024539877300613498,0.05521472392638037,0.012269938650306749
SER,0.07975460122699386,0.04294478527607362,0.15950920245398773,0.03680981595092025
THR,0.0,0.17177914110429449,0.0736196319018405,0.03680981595092025
VAL,0.04294478527607362,0.08588957055214724,0.1901840490797546,0.07975460122699386
TRP,0.006134969325153374,0.0,0.0,0.0
TYR,0.05521472392638037,0.012269938650306749,0.006134969325153374,0.018404907975460124
