,aN,d,e,aC
ALA,0.09394673123486683,0.1089588377723971,0.035351089588377724,0.10217917675544794
CYS,0.005326876513317191,0.017433414043583534,0.003389830508474576,0.011138014527845037
ASP,0.0,0.01937046004842615,0.012106537530266344,0.002421307506053269
GLU,0.01791767554479419,0.12058111380145278,0.11380145278450363,0.036803874092009685
PHE,0.021307506053268765,0.049878934624697335,0.02324455205811138,0.024213075060532687
GLY,0.0,0.0,0.0,0.0
HIS,0.021791767554479417,0.020823244552058112,0.009200968523002421,0.01162227602905569
ILE,0.18837772397094432,0.036803874092009685,0.08571428571428572,0.0910411622276029
LYS,0.05230024213075061,0.03099273607748184,0.10847457627118644,0.05811138014527845
LEU,0.3152542372881356,0.35980629539951575,0.1152542372881356,0.2900726392251816
MET,0.01937046004842615,0.026634382566585957,0.06392251815980629,0.014043583535108959
ASN,0.00387409200968523,0.013075060532687652,0.03486682808716707,0.03486682808716707
PRO,0.006295399515738499,0.001937046004842615,0.0,0.0
GLN,0.03728813559322034,0.029055690072639227,0.14915254237288136,0.05520581113801453
ARG,0.03486682808716707,0.012590799031476998,0.06537530266343826,0.08038740920096853
SER,0.03292978208232446,0.04261501210653753,0.04019370460048426,0.020338983050847456
THR,0.019854721549636804,0.01937046004842615,0.02711864406779661,0.04019370460048426
VAL,0.08958837772397095,0.019854721549636804,0.07021791767554479,0.0692493946731235
TRP,0.008232445520581114,0.007263922518159807,0.0043583535108958835,0.006779661016949152
TYR,0.031476997578692496,0.06295399515738499,0.038256658595641646,0.051331719128329296
