,aN,d,e,aC
ALA,0.0,0.0,0.0,0.0
CYS,0.0,0.0,0.0,0.3333333333333333
ASP,0.0,0.0,0.0,0.0
GLU,0.0,0.0,0.0,0.0
PHE,0.0,0.0,0.0,0.0
GLY,0.0,0.0,0.0,0.0
HIS,0.0,0.0,0.0,0.0
ILE,0.6666666666666666,0.0,0.0,0.0
LYS,0.0,0.0,0.0,0.0
LEU,0.0,0.3333333333333333,0.6666666666666666,0.0
MET,0.0,0.0,0.0,0.6666666666666666
ASN,0.0,0.0,0.0,0.0
PRO,0.0,0.0,0.0,0.0
GLN,0.0,0.6666666666666666,0.0,0.0
ARG,0.0,0.0,0.0,0.0
SER,0.3333333333333333,0.0,0.0,0.0
THR,0.0,0.0,0.0,0.0
VAL,0.0,0.0,0.3333333333333333,0.0
TRP,0.0,0.0,0.0,0.0
TYR,0.0,0.0,0.0,0.0
