,aN,d,e,aC
ALA,0.07213114754098361,0.10819672131147541,0.036065573770491806,0.10819672131147541
CYS,0.05245901639344262,0.009836065573770493,0.03278688524590164,0.022950819672131147
ASP,0.0,0.003278688524590164,0.029508196721311476,0.006557377049180328
GLU,0.09508196721311475,0.05901639344262295,0.12459016393442623,0.006557377049180328
PHE,0.07213114754098361,0.05901639344262295,0.022950819672131147,0.05901639344262295
GLY,0.0,0.0,0.0,0.0
HIS,0.05245901639344262,0.03934426229508197,0.02622950819672131,0.013114754098360656
ILE,0.06557377049180328,0.03934426229508197,0.08524590163934426,0.1901639344262295
LYS,0.0,0.01639344262295082,0.006557377049180328,0.022950819672131147
LEU,0.2721311475409836,0.23278688524590163,0.22950819672131148,0.2098360655737705
MET,0.05573770491803279,0.07213114754098361,0.019672131147540985,0.06885245901639345
ASN,0.003278688524590164,0.08524590163934426,0.04590163934426229,0.003278688524590164
PRO,0.0,0.0,0.036065573770491806,0.0
GLN,0.019672131147540985,0.019672131147540985,0.05245901639344262,0.022950819672131147
ARG,0.013114754098360656,0.029508196721311476,0.029508196721311476,0.05573770491803279
SER,0.029508196721311476,0.09836065573770492,0.07540983606557378,0.09180327868852459
THR,0.06229508196721312,0.036065573770491806,0.05245901639344262,0.07540983606557378
VAL,0.06885245901639345,0.07868852459016394,0.05573770491803279,0.009836065573770493
TRP,0.04262295081967213,0.0,0.003278688524590164,0.006557377049180328
TYR,0.022950819672131147,0.013114754098360656,0.036065573770491806,0.02622950819672131
