,dN,g,a,dC
ALA,0.18240343347639484,0.12017167381974249,0.11158798283261803,0.14377682403433475
CYS,0.019313304721030045,0.002145922746781116,0.004291845493562232,0.012875536480686695
ASP,0.02145922746781116,0.03648068669527897,0.0,0.04291845493562232
GLU,0.055793991416309016,0.06866952789699571,0.03648068669527897,0.012875536480686695
PHE,0.07725321888412018,0.04721030042918455,0.04291845493562232,0.0407725321888412
GLY,0.0,0.0,0.0,0.0
HIS,0.060085836909871244,0.01072961373390558,0.019313304721030045,0.05150214592274678
ILE,0.04721030042918455,0.034334763948497854,0.2017167381974249,0.03862660944206009
LYS,0.012875536480686695,0.08583690987124463,0.017167381974248927,0.02145922746781116
LEU,0.21030042918454936,0.09227467811158799,0.15450643776824036,0.2854077253218884
MET,0.015021459227467811,0.017167381974248927,0.045064377682403435,0.01072961373390558
ASN,0.06223175965665236,0.02575107296137339,0.012875536480686695,0.04291845493562232
PRO,0.002145922746781116,0.0,0.0,0.012875536480686695
GLN,0.030042918454935622,0.04721030042918455,0.08369098712446352,0.05150214592274678
ARG,0.01072961373390558,0.0815450643776824,0.0407725321888412,0.004291845493562232
SER,0.060085836909871244,0.07296137339055794,0.03648068669527897,0.11587982832618025
THR,0.01072961373390558,0.15021459227467812,0.06437768240343347,0.04721030042918455
VAL,0.06223175965665236,0.06652360515021459,0.04291845493562232,0.032188841201716736
TRP,0.006437768240343348,0.012875536480686695,0.0,0.004291845493562232
TYR,0.0536480686695279,0.027896995708154508,0.08583690987124463,0.027896995708154508
