,aN,d,e,aC
ALA,0.10197268588770865,0.09802731411229135,0.0937784522003035,0.057056145675265554
CYS,0.010015174506828529,0.025493171471927163,0.017905918057663128,0.010015174506828529
ASP,0.004855842185128983,0.008801213960546282,0.017298937784522003,0.007283763277693475
GLU,0.06767830045523521,0.04339908952959029,0.11745068285280728,0.012139605462822459
PHE,0.03368740515933232,0.06160849772382398,0.009711684370257967,0.02063732928679818
GLY,0.0,0.0,0.0,0.0
HIS,0.006676783004552352,0.018209408194233688,0.021244309559939303,0.011532625189681336
ILE,0.18968133535660092,0.07981790591805767,0.07223065250379362,0.20030349013657056
LYS,0.03975720789074355,0.01851289833080425,0.07769347496206373,0.0291350531107739
LEU,0.16024279210925646,0.32959028831562975,0.1511380880121396,0.360546282245827
MET,0.047344461305007586,0.016995447647951443,0.011836115326251897,0.029742033383915022
ASN,0.013657056145675266,0.01881638846737481,0.0370257966616085,0.009104704097116844
PRO,0.008497723823975721,0.0006069802731411229,0.0009104704097116844,0.0
GLN,0.04461305007587253,0.033990895295902886,0.11380880121396054,0.027010622154779968
ARG,0.03520485584218513,0.014871016691957511,0.07738998482549317,0.0385432473444613
SER,0.025189681335356602,0.023975720789074353,0.04825493171471927,0.019119878603945373
THR,0.028224582701062217,0.04886191198786039,0.04886191198786039,0.026403641881638847
VAL,0.15235204855842185,0.08072837632776934,0.04886191198786039,0.09468892261001517
TRP,0.004248861911987861,0.02063732928679818,0.0015174506828528073,0.010015174506828529
TYR,0.026100151745068287,0.057056145675265554,0.0330804248861912,0.03672230652503793
