,aN,d,e,aC
ALA,0.062146892655367235,0.08757062146892655,0.11581920903954802,0.07344632768361582
CYS,0.01694915254237288,0.025423728813559324,0.02824858757062147,0.00847457627118644
ASP,0.014124293785310734,0.002824858757062147,0.01694915254237288,0.005649717514124294
GLU,0.002824858757062147,0.01977401129943503,0.059322033898305086,0.022598870056497175
PHE,0.08757062146892655,0.0480225988700565,0.03389830508474576,0.07062146892655367
GLY,0.0,0.0,0.0,0.0
HIS,0.00847457627118644,0.03954802259887006,0.014124293785310734,0.00847457627118644
ILE,0.11864406779661017,0.04519774011299435,0.05084745762711865,0.14689265536723164
LYS,0.022598870056497175,0.00847457627118644,0.06779661016949153,0.0
LEU,0.2570621468926554,0.3672316384180791,0.14689265536723164,0.3474576271186441
MET,0.062146892655367235,0.02824858757062147,0.1384180790960452,0.096045197740113
ASN,0.00847457627118644,0.13559322033898305,0.005649717514124294,0.01694915254237288
PRO,0.0,0.0,0.0,0.0
GLN,0.022598870056497175,0.03389830508474576,0.096045197740113,0.01694915254237288
ARG,0.06779661016949153,0.00847457627118644,0.011299435028248588,0.03389830508474576
SER,0.1327683615819209,0.05367231638418079,0.06779661016949153,0.00847457627118644
THR,0.03389830508474576,0.014124293785310734,0.014124293785310734,0.0480225988700565
VAL,0.06779661016949153,0.0480225988700565,0.07627118644067797,0.062146892655367235
TRP,0.0,0.011299435028248588,0.005649717514124294,0.002824858757062147
TYR,0.014124293785310734,0.022598870056497175,0.05084745762711865,0.031073446327683617
