,aN,d,e,aC
ALA,0.14423076923076922,0.1778846153846154,0.0673076923076923,0.06009615384615385
CYS,0.019230769230769232,0.019230769230769232,0.002403846153846154,0.03365384615384615
ASP,0.014423076923076924,0.004807692307692308,0.04567307692307692,0.004807692307692308
GLU,0.0625,0.0,0.06971153846153846,0.007211538461538462
PHE,0.057692307692307696,0.04807692307692308,0.038461538461538464,0.019230769230769232
GLY,0.0,0.0,0.0,0.0
HIS,0.01201923076923077,0.002403846153846154,0.036057692307692304,0.03125
ILE,0.09615384615384616,0.05048076923076923,0.04326923076923077,0.15384615384615385
LYS,0.04326923076923077,0.016826923076923076,0.08173076923076923,0.057692307692307696
LEU,0.23798076923076922,0.27884615384615385,0.11057692307692307,0.29086538461538464
MET,0.026442307692307692,0.021634615384615384,0.03125,0.028846153846153848
ASN,0.02403846153846154,0.06490384615384616,0.040865384615384616,0.004807692307692308
PRO,0.002403846153846154,0.0,0.0,0.0
GLN,0.014423076923076924,0.028846153846153848,0.057692307692307696,0.038461538461538464
ARG,0.04567307692307692,0.009615384615384616,0.0985576923076923,0.040865384615384616
SER,0.04567307692307692,0.09375,0.15625,0.040865384615384616
THR,0.019230769230769232,0.02403846153846154,0.04326923076923077,0.057692307692307696
VAL,0.06971153846153846,0.12259615384615384,0.026442307692307692,0.09615384615384616
TRP,0.0,0.002403846153846154,0.021634615384615384,0.0
TYR,0.06490384615384616,0.03365384615384615,0.028846153846153848,0.03365384615384615
