,dN,g,a,dC
ALA,0.07716312056737588,0.12879432624113477,0.06042553191489362,0.1123404255319149
CYS,0.014184397163120567,0.011063829787234043,0.008794326241134751,0.01900709219858156
ASP,0.013333333333333334,0.04794326241134752,0.0014184397163120568,0.003120567375886525
GLU,0.01078014184397163,0.10212765957446808,0.0249645390070922,0.0499290780141844
PHE,0.0473758865248227,0.02354609929078014,0.0374468085106383,0.04283687943262411
GLY,0.0,0.0,0.0,0.0
HIS,0.00851063829787234,0.009645390070921986,0.009078014184397163,0.017588652482269502
ILE,0.14553191489361703,0.06439716312056738,0.20368794326241135,0.11914893617021277
LYS,0.028368794326241134,0.0626950354609929,0.04482269503546099,0.030354609929078014
LEU,0.30553191489361703,0.17390070921985815,0.31347517730496455,0.30099290780141846
MET,0.03801418439716312,0.02723404255319149,0.04624113475177305,0.0249645390070922
ASN,0.017588652482269502,0.016170212765957447,0.007659574468085106,0.009929078014184398
PRO,0.004822695035460993,0.0014184397163120568,0.00028368794326241134,0.0
GLN,0.015886524822695036,0.10808510638297872,0.04397163120567376,0.028085106382978724
ARG,0.01078014184397163,0.07546099290780142,0.04709219858156028,0.01475177304964539
SER,0.022127659574468085,0.04226950354609929,0.029787234042553193,0.02723404255319149
THR,0.05588652482269504,0.02695035460992908,0.022411347517730495,0.03460992907801418
VAL,0.1126241134751773,0.04680851063829787,0.05815602836879433,0.12425531914893617
TRP,0.007943262411347518,0.00425531914893617,0.0070921985815602835,0.005673758865248227
TYR,0.06354609929078014,0.02723404255319149,0.033191489361702124,0.035177304964539004
