,dN,g,a,dC
ALA,0.07339449541284404,0.09174311926605505,0.09174311926605505,0.10091743119266056
CYS,0.07339449541284404,0.03669724770642202,0.0,0.027522935779816515
ASP,0.009174311926605505,0.0,0.0,0.0
GLU,0.009174311926605505,0.009174311926605505,0.0,0.1651376146788991
PHE,0.03669724770642202,0.009174311926605505,0.03669724770642202,0.009174311926605505
GLY,0.0,0.0,0.0,0.0
HIS,0.009174311926605505,0.027522935779816515,0.0,0.05504587155963303
ILE,0.24770642201834864,0.27522935779816515,0.1926605504587156,0.07339449541284404
LYS,0.0,0.09174311926605505,0.01834862385321101,0.0
LEU,0.14678899082568808,0.1743119266055046,0.47706422018348627,0.09174311926605505
MET,0.009174311926605505,0.12844036697247707,0.027522935779816515,0.009174311926605505
ASN,0.03669724770642202,0.03669724770642202,0.0,0.0
PRO,0.0,0.0,0.0,0.0
GLN,0.0,0.01834862385321101,0.07339449541284404,0.03669724770642202
ARG,0.0,0.027522935779816515,0.0,0.03669724770642202
SER,0.045871559633027525,0.0,0.05504587155963303,0.12844036697247707
THR,0.11009174311926606,0.009174311926605505,0.0,0.01834862385321101
VAL,0.027522935779816515,0.009174311926605505,0.01834862385321101,0.22018348623853212
TRP,0.0,0.05504587155963303,0.0,0.0
TYR,0.1651376146788991,0.0,0.009174311926605505,0.027522935779816515
