,dN,g,a,dC
ALA,0.15830721003134796,0.14890282131661442,0.14106583072100312,0.06583072100313479
CYS,0.014106583072100314,0.02664576802507837,0.014106583072100314,0.09717868338557993
ASP,0.009404388714733543,0.0219435736677116,0.001567398119122257,0.004702194357366771
GLU,0.006269592476489028,0.018808777429467086,0.025078369905956112,0.1206896551724138
PHE,0.11912225705329153,0.07993730407523511,0.02037617554858934,0.13636363636363635
GLY,0.0,0.0,0.0,0.0
HIS,0.023510971786833857,0.03134796238244514,0.006269592476489028,0.0
ILE,0.07836990595611286,0.14890282131661442,0.1614420062695925,0.08934169278996865
LYS,0.006269592476489028,0.054858934169279,0.032915360501567396,0.001567398119122257
LEU,0.27586206896551724,0.11285266457680251,0.29310344827586204,0.24921630094043887
MET,0.0438871473354232,0.06896551724137931,0.006269592476489028,0.03134796238244514
ASN,0.02037617554858934,0.029780564263322883,0.001567398119122257,0.012539184952978056
PRO,0.001567398119122257,0.0,0.0,0.001567398119122257
GLN,0.0,0.08463949843260188,0.025078369905956112,0.001567398119122257
ARG,0.004702194357366771,0.02821316614420063,0.009404388714733543,0.004702194357366771
SER,0.03605015673981191,0.05329153605015674,0.09561128526645768,0.02664576802507837
THR,0.014106583072100314,0.03918495297805643,0.02664576802507837,0.03761755485893417
VAL,0.0768025078369906,0.02821316614420063,0.09090909090909091,0.0987460815047022
TRP,0.012539184952978056,0.0,0.02037617554858934,0.003134796238244514
TYR,0.0987460815047022,0.023510971786833857,0.02821316614420063,0.017241379310344827
