,dN,g,a,dC
ALA,0.0784313725490196,0.09411764705882353,0.11372549019607843,0.11372549019607843
CYS,0.03137254901960784,0.00784313725490196,0.0392156862745098,0.0
ASP,0.01568627450980392,0.050980392156862744,0.023529411764705882,0.054901960784313725
GLU,0.054901960784313725,0.4627450980392157,0.023529411764705882,0.054901960784313725
PHE,0.01568627450980392,0.0,0.00784313725490196,0.011764705882352941
GLY,0.0,0.0,0.0,0.0
HIS,0.011764705882352941,0.00392156862745098,0.0,0.03137254901960784
ILE,0.10196078431372549,0.00784313725490196,0.19215686274509805,0.06666666666666667
LYS,0.0196078431372549,0.00784313725490196,0.01568627450980392,0.03137254901960784
LEU,0.38823529411764707,0.08627450980392157,0.20392156862745098,0.38823529411764707
MET,0.0196078431372549,0.03529411764705882,0.0392156862745098,0.01568627450980392
ASN,0.00392156862745098,0.00784313725490196,0.0,0.01568627450980392
PRO,0.0,0.00392156862745098,0.0,0.0
GLN,0.011764705882352941,0.07450980392156863,0.01568627450980392,0.0196078431372549
ARG,0.00392156862745098,0.043137254901960784,0.0,0.00784313725490196
SER,0.011764705882352941,0.043137254901960784,0.047058823529411764,0.050980392156862744
THR,0.09803921568627451,0.03529411764705882,0.00392156862745098,0.0196078431372549
VAL,0.08235294117647059,0.0196078431372549,0.2627450980392157,0.03137254901960784
TRP,0.0,0.0,0.00784313725490196,0.0
TYR,0.050980392156862744,0.01568627450980392,0.00392156862745098,0.08627450980392157
